Date,City,IATA,eras_tour
2023-03-17,Glendale,PHX,Tour Date
2023-03-18,Glendale,PHX,Tour Date
2023-03-24,Paradise,LAS,Tour Date
2023-03-25,Paradise,LAS,Tour Date
2023-03-31,Arlington,DFW,Tour Date
2023-04-01,Arlington,DFW,Tour Date
2023-04-02,Arlington,DFW,Tour Date
2023-04-13,Tampa,TPA,Tour Date
2023-04-14,Tampa,TPA,Tour Date
2023-04-15,Tampa,TPA,Tour Date
2023-04-21,Houston,IAH,Tour Date
2023-04-22,Houston,IAH,Tour Date
2023-04-23,Houston,IAH,Tour Date
2023-04-28,Atlanta,ATL,Tour Date
2023-04-29,Atlanta,ATL,Tour Date
2023-04-30,Atlanta,ATL,Tour Date
2023-05-05,Nashville,BNA,Tour Date
2023-05-06,Nashville,BNA,Tour Date
2023-05-07,Nashville,BNA,Tour Date
2023-05-12,Philadelphia,PHL,Tour Date
2023-05-13,Philadelphia,PHL,Tour Date
2023-05-14,Philadelphia,PHL,Tour Date
2023-05-19,Foxborough,BOS,Tour Date
2023-05-20,Foxborough,BOS,Tour Date
2023-05-21,Foxborough,BOS,Tour Date
2023-05-26,East Rutherford,EWR,Tour Date
2023-05-27,East Rutherford,EWR,Tour Date
2023-05-28,East Rutherford,EWR,Tour Date
2023-06-02,Chicago,ORD,Tour Date
2023-06-03,Chicago,ORD,Tour Date
2023-06-04,Chicago,ORD,Tour Date
2023-06-09,Detroit,DTW,Tour Date
2023-06-10,Detroit,DTW,Tour Date
2023-06-16,Pittsburgh,PIT,Tour Date
2023-06-17,Pittsburgh,PIT,Tour Date
2023-06-23,Minneapolis,MSP,Tour Date
2023-06-24,Minneapolis,MSP,Tour Date
2023-06-30,Cincinnati,CVG,Tour Date
2023-07-01,Cincinnati,CVG,Tour Date
2023-07-07,Kansas City,MCI,Tour Date
2023-07-08,Kansas City,MCI,Tour Date
2023-07-14,Denver,DEN,Tour Date
2023-07-15,Denver,DEN,Tour Date
2023-07-22,Seattle,SEA,Tour Date
2023-07-23,Seattle,SEA,Tour Date
2023-07-28,Santa Clara,SJC,Tour Date
2023-07-29,Santa Clara,SJC,Tour Date
2023-08-03,Inglewood,LAX,Tour Date
2023-08-04,Inglewood,LAX,Tour Date
2023-08-05,Inglewood,LAX,Tour Date
2023-08-07,Inglewood,LAX,Tour Date
2023-08-08,Inglewood,LAX,Tour Date
2023-08-09,Inglewood,LAX,Tour Date
